time,energy
0.0,1.6407480834057965e-33
0.0015086860457117091,5.102464240095276e-32
0.0030173720914234183,7.864927868727385e-31
0.004526058137135127,1.0344720902187515e-29
0.0060347441828468365,1.269185060803062e-28
0.007543430228558546,1.4752094818012463e-27
0.009052116274270255,1.627240839137113e-26
0.010560802319981964,1.702964703098131e-25
0.012069488365693673,1.6904014232483323e-24
0.013578174411405382,1.5912253729763065e-23
0.015086860457117091,1.420310478027472e-22
0.016595546502828802,1.2019969806317903e-21
0.01810423254854051,9.643842971322173e-21
0.019612918594252217,7.334638436528113e-20
0.021121604639963928,5.28737746871026e-19
0.02263029068567564,3.612281780098363e-18
0.024138976731387346,2.3385369109308382e-17
0.025647662777099053,1.4343795325361233e-16
0.027156348822810764,8.334331169421127e-16
0.028665034868522475,4.586555799922506e-15
0.030173720914234183,2.39015589195563e-14
0.03168240695994589,1.1792194352090654e-13
0.033191093005657604,5.506640978811879e-13
0.03469977905136931,2.4332443175459095e-12
0.03620846509708102,1.0170940626087762e-11
0.037717151142792726,4.020380564338981e-11
0.039225837188504434,1.502243459373231e-10
0.04073452323421615,5.30391560550287e-10
0.042243209279927856,1.768594876285909e-09
0.04375189532563956,5.566733971537742e-09
0.04526058137135128,1.6528970597418054e-08
0.046769267417062985,4.626578641764689e-08
0.04827795346277469,1.2198174990472916e-07
0.0497866395084864,3.0265761143810953e-07
0.05129532555419811,7.059468511307728e-07
0.05280401159990982,1.5460716052008117e-06
0.05431269764562153,3.1748308880652316e-06
0.055821383691333236,6.10318986355994e-06
0.05733006973704495,1.0963915379400622e-05
0.05883875578275666,1.836985682797527e-05
0.060347441828468365,2.864983587134114e-05
0.06185612787418007,4.152269938623878e-05
0.06336481391989178,5.588764500595592e-05
0.06487349996560349,6.999767401428978e-05
0.06638218601131521,8.222808185772054e-05
0.06789087205702692,9.236368880608323e-05
0.06939955810273862,0.00010286340563122236
0.07090824414845033,0.00011919684591157763
0.07241693019416204,0.00014848576435403567
0.07392561623987375,0.00019653438818728722
0.07543430228558545,0.0002645760348376979
0.07694298833129716,0.0003478268460181506
0.07845167437700887,0.00043733519584033875
0.07996036042272059,0.000524592364036152
0.0814690464684323,0.0006061307191193114
0.082977732514144,0.0006847182967286495
0.08448641855985571,0.000765753324729118
0.08599510460556742,0.0008510382115804582
0.08750379065127913,0.0009346061647198374
0.08901247669699083,0.0010043903176891725
