label,order_by_modulus,real_part,imaginary_part,modulus
P0,1,1.0,0.0,1.0
P0,2,0.4780776406404412,0.0,0.4780776406404412
P0,3,0.2999999999999995,0.0,0.2999999999999995
P0,4,0.2719223593595586,0.0,0.2719223593595586
P0.5,1,1.0000000000000009,0.0,1.0000000000000009
P0.5,2,0.7390388203202211,0.0,0.7390388203202211
P0.5,3,0.6500000000000016,0.0,0.6500000000000016
P0.5,4,0.6359611796797786,0.0,0.6359611796797786
P0.8,1,0.9999999999999999,0.0,0.9999999999999999
P0.8,2,0.8956155281280901,0.0,0.8956155281280901
P0.8,3,0.8599999999999999,0.0,0.8599999999999999
P0.8,4,0.8543844718719117,0.0,0.8543844718719117
