p,realizations,average_degree_mean,average_degree_std,average_clustering_mean,average_clustering_std,average_path_length_mean,average_path_length_std,diameter_mean,diameter_std,fraction_connected,number_of_components_mean,number_of_components_std,largest_component_size_mean,largest_component_size_std,C_over_C0,L_over_L0,C_over_C0_std,L_over_L0_std
0,1000,6.0,0.0,0.5999999999999998,2.221557105636704e-16,17.085427135678394,3.554491369018726e-15,34.0,0.0,1.0,1.0,0.0,200.0,0.0,1.0,1.0,3.7025951760611743e-16,2.0804228895139013e-16
0.001,1000,6.0,0.0,0.5983770714285713,0.002262249369886965,15.790941708542716,1.7728871756016946,33.45,1.9134160972358212,1.0,1.0,0.0,200.0,0.0,0.9972951190476192,0.9242345294117648,0.0037704156164782765,0.10376604351315799
0.003,1000,6.0,0.0,0.5949730833333333,0.003826744907117822,13.621960653266331,2.249261896734025,30.878,4.15985822119221,1.0,1.0,0.0,200.0,0.0,0.9916218055555559,0.797285344117647,0.006377908178529706,0.1316479757206091
0.01,1000,6.0,0.0,0.5830299047619047,0.007199234073224896,9.564501959798996,1.7156406796179602,22.033,4.599681300706394,1.0,1.0,0.0,200.0,0.0,0.9717165079365083,0.5598046735294118,0.011998723455374833,0.10041543977763942
0.03,1000,6.0,0.0,0.5509887341269841,0.012024805262710716,6.379918090452262,0.6213033055990546,13.626,2.027371262061844,1.0,1.0,0.0,200.0,0.0,0.9183145568783072,0.37341285294117643,0.020041342104517867,0.036364517004179954
0.1,1000,6.0,0.0,0.44689110533910537,0.018886638854861165,4.425759547738694,0.1620940853302548,8.379,0.630679599128398,1.0,1.0,0.0,200.0,0.0,0.7448185088985092,0.25903710294117643,0.031477731424768625,0.009487271464917853
0.3,1000,6.0,0.0,0.22193435547785545,0.01811373492939394,3.487022361809045,0.04058230248296629,6.022,0.15342600672486897,1.0,1.0,0.0,200.0,0.0,0.3698905924630926,0.2040933676470588,0.030189558215656578,0.0023752582923853797
1,1000,6.0,0.0,0.025853358349983348,0.00509161592366756,3.145618592964824,0.00897712524766894,5.028,0.16505527329729047,1.0,1.0,0.0,200.0,0.0,0.043088930583305596,0.1841112058823529,0.008486026539445937,0.0005254258600841526
