label,mu,spectral_gap,observed_worst_step_below_1e_minus_3
P0,0.4780776406404412,0.5219223593595588,9
P0.5,0.7390388203202211,0.26096117967977894,22
P0.8,0.8956155281280901,0.10438447187190991,58
