label,pi_0,pi_1,pi_2,pi_3,sum_pi
P0,0.2800751879699248,0.2857142857142857,0.22932330827067665,0.20488721804511284,1.0
P0.5,0.280075187969925,0.28571428571428575,0.22932330827067657,0.2048872180451127,1.0
P0.8,0.28007518796992326,0.28571428571428703,0.22932330827067685,0.20488721804511278,0.9999999999999999
