label,min_entry,column_sum_0,column_sum_1,column_sum_2,column_sum_3,max_error_in_Ppi_minus_pi
P0,0.1,1.0,0.9999999999999999,1.0,1.0,5.551115123125783e-17
P0.5,0.05,1.0,1.0,0.9999999999999999,1.0,5.551115123125783e-17
P0.8,0.019999999999999997,1.0,1.0,1.0,1.0,1.6653345369377348e-16
