(0,66)
(0,100)
(1,26)
(1,66)
(1,68)
(1,98)
(1,100)
(2,26)
(2,28)
(2,49)
(2,50)
(2,69)
(2,70)
(2,96)
(2,97)
(2,116)
(2,117)
(3,9)
(3,10)
(3,29)
(3,30)
(3,47)
(3,51)
(3,69)
(3,70)
(3,75)
(3,76)
(3,90)
(3,91)
(3,96)
(3,97)
(3,115)
(3,119)
(4,7)
(4,11)
(4,29)
(4,30)
(4,35)
(4,36)
(4,46)
(4,52)
(4,69)
(4,70)
(4,75)
(4,76)
(4,90)
(4,91)
(4,96)
(4,97)
(4,114)
(4,120)
(5,6)
(5,12)
(5,29)
(5,30)
(5,35)
(5,36)
(5,41)
(5,42)
(5,45)
(5,46)
(5,48)
(5,52)
(5,61)
(5,66)
(5,68)
(5,98)
(5,100)
(5,105)
(5,114)
(5,118)
(5,120)
(5,121)
(5,124)
(5,125)
(6,1)
(6,2)
(6,5)
(6,6)
(6,8)
(6,12)
(6,21)
(6,26)
(6,28)
(6,41)
(6,42)
(6,46)
(6,52)
(6,62)
(6,66)
(6,100)
(6,104)
(6,114)
(6,120)
(6,124)
(6,125)
(7,1)
(7,2)
(7,6)
(7,12)
(7,22)
(7,26)
(7,47)
(7,51)
(7,57)
(7,60)
(7,61)
(7,62)
(7,104)
(7,105)
(7,106)
(7,109)
(7,115)
(7,119)
(8,7)
(8,11)
(8,17)
(8,20)
(8,21)
(8,22)
(8,49)
(8,50)
(8,116)
(8,117)
(9,9)
(9,10)
(71,85)
(71,86)
(71,89)
(71,90)
(72,82)
(72,86)
(72,89)
(72,90)
(73,82)
(73,83)
(73,84)
(73,85)
(75,82)
(75,83)
(76,82)
(76,83)
