(0,130)
(1,26)
(1,66)
(1,106)
(1,128)
(1,130)
(2,26)
(2,28)
(2,66)
(2,68)
(2,106)
(2,108)
(2,126)
(2,127)
(2,146)
(2,147)
(3,9)
(3,10)
(3,29)
(3,30)
(3,49)
(3,50)
(3,69)
(3,70)
(3,89)
(3,90)
(3,109)
(3,110)
(3,120)
(3,121)
(3,126)
(3,127)
(3,145)
(3,149)
(4,7)
(4,11)
(4,29)
(4,30)
(4,35)
(4,36)
(4,47)
(4,51)
(4,69)
(4,70)
(4,75)
(4,76)
(4,87)
(4,91)
(4,109)
(4,110)
(4,115)
(4,116)
(4,120)
(4,121)
(4,126)
(4,127)
(4,144)
(4,150)
(5,6)
(5,12)
(5,29)
(5,30)
(5,35)
(5,36)
(5,46)
(5,52)
(5,69)
(5,70)
(5,75)
(5,76)
(5,86)
(5,92)
(5,109)
(5,110)
(5,115)
(5,116)
(5,128)
(5,130)
(5,135)
(5,144)
(5,148)
(5,150)
(5,151)
(5,154)
(5,155)
(6,1)
(6,2)
(6,5)
(6,6)
(6,8)
(6,12)
(6,21)
(6,26)
(6,28)
(6,41)
(6,42)
(6,45)
(6,46)
(6,48)
(6,52)
(6,61)
(6,66)
(6,68)
(6,81)
(6,82)
(6,85)
(6,86)
(6,88)
(6,92)
(6,101)
(6,106)
(6,108)
(6,130)
(6,134)
(6,144)
(6,150)
(6,154)
(6,155)
(7,1)
(7,2)
(7,6)
(7,12)
(7,22)
(7,26)
(7,41)
(7,42)
(7,46)
(7,52)
(7,62)
(7,66)
(7,81)
(7,82)
(7,86)
(7,92)
(7,102)
(7,106)
(7,134)
(7,135)
(7,136)
(7,139)
(7,145)
(7,149)
(8,7)
(8,11)
(8,17)
(8,20)
(8,21)
(8,22)
(8,47)
(8,51)
(8,57)
(8,60)
(8,61)
(8,62)
(8,87)
(8,91)
(8,97)
(8,100)
(8,101)
(8,102)
(8,146)
(8,147)
(9,9)
(9,10)
(9,49)
(9,50)
(9,89)
(9,90)
(58,111)
(58,112)
(59,111)
(60,112)
(60,113)
(60,114)
(61,114)
(71,85)
(71,86)
(71,89)
(71,90)
(72,82)
(72,86)
(72,89)
(72,90)
(73,82)
(73,83)
(73,84)
(73,85)
(75,82)
(75,83)
(76,82)
(76,83)
